New column 0 Url,New column 1,New column 2
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap32505457.html,Zuma,"175,20 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap10991009.html,Aram Sahaf,"195,00 TL"
https://www.nadirkitap.com/otomatik-portakal-a-clockwork-orange-anthony-burgess-9-baski-2008-anthony-burgess-kitap28031912.html,Atlas Ekim Sahaf,"235,00 TL"
https://www.nadirkitap.com/otomatik-portakal-ciltli-somizli-anthony-burgess-kitap31544028.html,Bitap Sahaf,"275,00 TL"
https://www.nadirkitap.com/otomatik-portakal-ciltli-anthony-burgess-kitap19770590.html,Kitap Gemisi,"295,00 TL"
https://www.nadirkitap.com/otomatik-portakal-modern-klasikler-ciltli-1-baski-anthony-burgess-kitap35630187.html,Genesis Kitabevi,"300,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap10290050.html,Burak Sahaf,"350,00 TL"
https://www.nadirkitap.com/otomatik-portakal-ciltli-somizli-1-baski-anthony-burgess-kitap36288738.html,Burak Sahaf,"350,00 TL"
https://www.nadirkitap.com/otomatik-portakal-clockwork-orange-anthony-burgess-kitap30997821.html,Kamo Kitabevi & Sahaf,"350,00 TL"
https://www.nadirkitap.com/otomatik-portakal-modern-klasikler-ciltli-somizli-anthony-burgess-kitap34130011.html,Martı Kitap,"455,40 TL"
https://www.nadirkitap.com/otomatik-portakal-ciltli-somizli-is-bankasi-modern-klasikler-dizisi-anthony-burgess-kitap34807116.html,Cemal Kitabevi,"750,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap33509570.html,Berke Kitap,"60,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap38909255.html,Nevadir Sahaf,"60,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap38946154.html,Urfa Sahaf,"60,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap16984422.html,Günışığı Kitap Kafe,"63,06 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap39306511.html,Bukefalos Sahaf,"63,25 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap40523554.html,Dergi Rafı,"65,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap36199877.html,Kuytu Kitabevi,"65,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-aziz-uztel-anthony-burgess-kitap37850875.html,Barış Kitap,"69,00 TL"
https://www.nadirkitap.com/otomatik-portakal-42-baski-anthony-burgess-kitap35944295.html,Aylandız Sahaf Kitabevi,"69,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap38655448.html,Kitappare,"69,90 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap39384483.html,Morpheus Kitabevi,"70,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap31707636.html,Şibumi Kitap,"70,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap10412070.html,Don Kişot Kitabevi,"70,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap21121565.html,Hiciv Sahaf & Kitabevi,"70,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap21141309.html,Hiciv Sahaf & Kitabevi,"70,00 TL"
https://www.nadirkitap.com/otomatik-portakal-modern-klasikler-dizisi-3-anthony-burgess-kitap41508277.html,Kayra Han Sahaf,"70,00 TL"
https://www.nadirkitap.com/otomatik-portakal-1-baski-anthony-burgess-kitap32062527.html,Çağlar Kitabevi / Sahaf,"72,60 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap26412400.html,Harbiye Kitabevi & Sahaf,"74,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap36186389.html,Harbiye Kitabevi & Sahaf,"74,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap28936566.html,Boğa Kitap,"74,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap27186621.html,Kuzguncuk Sahaf,"74,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap41430079.html,Ebced Sahaf&Kitabevi,"74,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap37143516.html,Yeldeğirmeni Kitabevi,"74,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap16945439.html,Yerdeniz Kitapçısı,"74,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap26070760.html,Hitabevi Kitabevi,"74,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap28213095.html,Melankoli Yayınevi,"74,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap40488290.html,Şibumi Kitap,"75,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap41543507.html,Aytek Kitap,"75,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap26560765.html,Ege Kitabevi,"75,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap29537819.html,Kitap Gemisi,"75,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap35719498.html,Yalı Kitabevi,"75,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap39134248.html,Atılgan Sahaf &Kitabevi,"75,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap36068855.html,Mefkure Sahaf,"76,05 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap36747705.html,Mefkure Sahaf,"76,05 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap32199989.html,Papirüs Kitabevi,"78,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap40085384.html,Vinyet Kitap,"78,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap41329744.html,Tekirdağ Sahhaf Mısra,"80,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap35296325.html,Teşup Kitabevi,"80,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap37986277.html,Kitebçiyan Sahaf,"80,00 TL"
https://www.nadirkitap.com/otomatik-portakal-orijinal-ayraci-ile-birlikte-anthony-burgess-kitap35460450.html,Muğla Kelepir Kitabevi,"82,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap13675410.html,Bursa Martı Kitabevi,"84,00 TL"
https://www.nadirkitap.com/otomatik-portakal-modern-klasikler-dizisi-anthony-burgess-kitap22430100.html,Hitit Sahaf,"84,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap34012115.html,Ankara Antik Sahaf,"84,42 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap40349991.html,Erdem Kitabevi Sahaf,"87,50 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap41330391.html,Erdem Kitabevi Sahaf,"87,50 TL"
https://www.nadirkitap.com/otomatik-portakal-orijinal-ayracli-anthony-burgess-kitap41272620.html,Hayde Kitap,"88,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap5597457.html,Moda Kitap,"90,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap40538128.html,Sedir Sahaf,"91,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap33130253.html,Ferda Kitabevi,"91,82 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap40455492.html,Miyar Kitap,"92,50 TL"
https://www.nadirkitap.com/otomatik-portakal-uygulanmasina-dayali-bir-hik-yeye-cok-iyi-oturdugunu-dusundum-anthony-burgess-anthony-burgess-kitap35774153.html,Mesaj Kitabevi,"115,70 TL
92,56 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap31597957.html,Lilav Kitabevi,"94,50 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap36106034.html,Göğe Bakma Durağı Kitabevi,"96,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap36636719.html,Kitap Adası,"97,02 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap37473380.html,Kitap Adası,"97,02 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap38700125.html,Kitap Adası,"97,02 TL"
https://www.nadirkitap.com/otomatik-portakal-kitap-kilifi-hedyeli-anthony-burgess-kitap39906414.html,Aylandız Sahaf Kitabevi,"99,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap36948065.html,Rengahenk Sahaf,"100,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap39978093.html,Black Books,"100,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burges-kitap20510663.html,Sokak Kitapçısı,"100,11 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap21075992.html,Fakülte&Üniversite Kitabevi,"110,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap21045717.html,Sokak Kitapçısı,"110,12 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap21054197.html,Sokak Kitapçısı,"118,13 TL"
https://www.nadirkitap.com/otomatik-portakal-modern-klasikler-anthony-burgess-kitap16110721.html,Çağdaş Kitabevi,"128,09 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap35788838.html,Yonca Kitabevi,"260,00 TL
130,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap34840423.html,Eylül Kitap Kulübü,"136,50 TL"
https://www.nadirkitap.com/otomatik-portakal-39-basim-2022-anthony-burgess-kitap28922816.html,Eymir Kitabevi,"136,50 TL"
https://www.nadirkitap.com/otomatik-portakal-39-basim-2022-anthony-burgess-kitap31713610.html,Eymir Kitabevi,"136,50 TL"
https://www.nadirkitap.com/otomatik-portakal-39-basim-2022-anthony-burgess-kitap32365306.html,Eymir Kitabevi,"136,50 TL"
https://www.nadirkitap.com/otomatik-portakal-39-basim-2022-anthony-burgess-kitap32386258.html,Eymir Kitabevi,"136,50 TL"
https://www.nadirkitap.com/otomatik-portakal-39-basim-2022-anthony-burgess-kitap35201537.html,Eymir Kitabevi,"136,50 TL"
https://www.nadirkitap.com/otomatik-portakal-39-basim-2022-anthony-burgess-kitap36623541.html,Eymir Kitabevi,"136,50 TL"
https://www.nadirkitap.com/otomatik-portakal-39-basim-2022-anthony-burgess-kitap36633594.html,Eymir Kitabevi,"136,50 TL"
https://www.nadirkitap.com/otomatik-portakal-is-bankasi-kultur-yayinlari-13-baski-anthony-burgess-kitap35529928.html,Moda Kitap,"150,00 TL"
https://www.nadirkitap.com/otomatik-portakal-modern-klasikler-serisi-anthony-burgess-kitap21543763.html,Günce Kitap&Sahaf,"150,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap32505457.html,Zuma,"175,20 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap10991009.html,Aram Sahaf,"195,00 TL"
https://www.nadirkitap.com/otomatik-portakal-a-clockwork-orange-anthony-burgess-9-baski-2008-anthony-burgess-kitap28031912.html,Atlas Ekim Sahaf,"235,00 TL"
https://www.nadirkitap.com/otomatik-portakal-ciltli-somizli-anthony-burgess-kitap31544028.html,Bitap Sahaf,"275,00 TL"
https://www.nadirkitap.com/otomatik-portakal-ciltli-anthony-burgess-kitap19770590.html,Kitap Gemisi,"295,00 TL"
https://www.nadirkitap.com/otomatik-portakal-modern-klasikler-ciltli-1-baski-anthony-burgess-kitap35630187.html,Genesis Kitabevi,"300,00 TL"
https://www.nadirkitap.com/otomatik-portakal-anthony-burgess-kitap10290050.html,Burak Sahaf,"350,00 TL"
https://www.nadirkitap.com/otomatik-portakal-ciltli-somizli-1-baski-anthony-burgess-kitap36288738.html,Burak Sahaf,"350,00 TL"
https://www.nadirkitap.com/otomatik-portakal-clockwork-orange-anthony-burgess-kitap30997821.html,Kamo Kitabevi & Sahaf,"350,00 TL"
https://www.nadirkitap.com/otomatik-portakal-modern-klasikler-ciltli-somizli-anthony-burgess-kitap34130011.html,Martı Kitap,"455,40 TL"
https://www.nadirkitap.com/otomatik-portakal-ciltli-somizli-is-bankasi-modern-klasikler-dizisi-anthony-burgess-kitap34807116.html,Cemal Kitabevi,"750,00 TL"
